43343,138.850006,301.660004
43342,139.059998,303.149994
43341,141.860001,305.01001
43340,142,311.859985
43339,142.039993,319.269989
43336,138.210007,322.820007
43335,136.789993,320.100006
43334,139.630005,321.640015
43333,139.990005,321.899994
43332,138.669998,308.440002
43329,139.339996,305.5
43328,136.259995,335.450012
43327,132.020004,338.690002
43326,134.919998,347.640015
43325,135.020004,356.410004
43322,135.919998,355.48999
43321,138.520004,352.450012
43320,139.710007,370.339996
43319,142.380005,379.570007
43318,139.479996,341.98999
43315,138.509995,348.170013
43314,138.009995,349.540009
43313,138.539993,300.839996
43312,143.800003,298.140015
43311,139.75,290.170013
43308,142.559998,297.179993
43307,142.580002,306.649994
43306,140.479996,308.73999
43305,137.970001,297.429993
43304,136.279999,303.200012
43301,136.820007,313.579987
43300,139.419998,320.230011
43299,140.259995,323.850006
43298,138.103226,322.690002
43297,137.238525,310.100006
43294,139.892258,318.869995
43293,138.570358,316.709991
43292,135.926559,318.959991
43291,140.389206,322.470001
43290,140.110916,318.51001
43287,134.584808,308.899994
43286,134.982361,309.160004
43284,133.014435,310.859985
43283,135.459427,335.070007
43280,134.843216,342.950012
43279,135.201019,349.929993
43278,133.789673,344.5
43277,134.714005,342
43276,135.747665,333.01001
43273,139.087189,333.630005
43272,138.679688,347.51001
43271,142.257751,362.220001
43270,142.426712,352.549988
43269,147.773926,370.829987
43266,149.105774,358.170013
43265,152.206757,357.720001
43264,153.767181,344.779999
43263,156.530243,342.769989
43262,155.347488,332.100006
43259,154.373474,317.660004
43258,155.33754,316.089996
43257,155.556213,319.5
43256,152.07753,291.130005
43255,151.570648,296.73999
43252,152.584442,291.820007
43251,150.984253,284.730011
43250,154.512619,291.720001
43249,152.683823,283.76001
43245,154.900238,278.850006
43244,156.738953,277.850006
43243,156.778717,279.070007
43242,155.248093,275.01001
43241,157.951523,284.48999
43238,154.761093,276.820007
43237,152.753403,284.540009
43236,152.862732,286.480011
43235,151.660095,284.179993
43234,154.33371,291.970001
43231,153.916275,301.059998
43230,153.031693,305.019989
43229,151.679977,306.850006
43228,149.016312,301.970001
43227,148.906982,302.769989
43224,145.477997,294.089996
43223,142.903793,284.450012
43222,142.983307,301.149994
43221,143.539886,299.920013
43220,143.480255,293.899994
43217,143.838058,294.079987
