Date,Closing Value
41334,914.72998
41333,911.109985
41332,909.919983
41331,900.049988
41330,895.840027
41327,916.150024
41326,905.400024
41325,913.5
41324,932
41320,923.150024
41319,923.76001
41318,920.580017
41317,917.52002
41316,913.030029
41313,913.669983
41312,908.099976
41311,911.289978
41310,908.219971
41309,899.280029
41306,911.200012
41305,902.090027
41304,896.909973
41303,907.309998
41302,906.710022
41299,905.23999
41298,900.190002
41297,896.700012
41296,899.23999
41292,892.799988
41291,890.359985
41290,882.309998
41289,884.599976
41288,880.099976
41285,880.77002
41284,881.23999
41283,879.51001
41282,874.700012
41281,875.799988
41278,879.150024
41277,872.599976
41276,873.419983
41274,849.349976
41271,832.099976
41270,837.400024
41269,838.890015
41267,844.73999
41264,847.919983
41263,852.48999
41262,847.890015
41261,847.690002
41260,835
41257,823.75
41256,824.200012
41255,829.390015
41254,834.98999
41253,826.26001
41250,822.27002
41249,821.789978
41248,820.599976
41247,822.119995
41246,820.799988
41243,821.919983
41242,823.200012
41241,813.5
41240,807.73999
41239,809.02002
41236,807.179993
41234,798.380005
41233,793.809998
41232,793.059998
41229,776.280029
41228,769.47998
41227,773.200012
41226,789.01001
41225,793.76001
41222,795.02002
41221,793.650024
41220,804.52002
41219,825.640015
41218,819.539978
41215,814.369995
41214,827.849976
41213,818.72998
41208,813.25
41207,816.820007
41206,813.650024
41205,816.200012
41204,820.52002
41201,821
41200,837.119995
41199,842.52002
41198,835.440002
41197,828.280029
41194,823.090027
41193,829.780029
41192,826.75
41191,827.919983
41190,838.409973
41187,842.859985
41186,844.650024
41185,838.780029
41184,840.51001
41183,840.309998
41180,837.450012
41179,843.539978
41178,833.929993
41177,839.119995
41176,851.76001
41173,855.51001
41172,851.51001
41171,856.080017
41170,856.929993
41169,858.900024
41166,864.700012
41165,856.119995
41164,845.119995
41163,841.919983
41162,839.369995
41159,842.27002
41158,837.950012
41157,821.22998
41156,822.140015
41152,812.090027
41151,808.640015
41150,817.840027
41149,814.280029
41148,810.400024
41145,809.190002
41144,806
41143,812.559998
41142,815.359985
41141,816.51001
41138,819.890015
41137,813.080017
41136,804.26001
41135,796.880005
41134,799.48999
41131,801.549988
41130,802.900024
41129,800.159973
41128,801.340027
41127,794.349976
41124,788.47998
41123,768.599976
41122,771.130005
41121,786.940002
41120,791.580017
41117,796
41116,777.109985
41115,769.309998
41114,767.75
41113,778.900024
41110,791.539978
41109,802.169983
41108,805.059998
41107,799.450012
41106,796.659973
41103,800.98999
41102,789.619995
41101,792.26001
41100,795.169983
41099,804.799988
41096,807.140015
41095,817.429993
41093,818.48999
41092,807.940002
41089,798.48999
41088,775.890015
41087,776.23999
41086,765.02002
41085,761.900024
41082,775.159973
41081,764.830017
41080,784.049988
41079,786.429993
41078,772.530029
41075,771.320007
41074,762.340027
41073,752.380005
41072,761.530029
41071,751.01001
41068,769.190002
